ts_event,open,high,low,close,volume
2025-08-21 19:30:00+00:00,224.21,225.055,224.16,224.8,697266
2025-08-21 20:30:00+00:00,224.795,225.25,224.39,224.9,4384550
2025-08-22 13:30:00+00:00,226.18,226.71,225.86,226.43,471546
2025-08-22 14:30:00+00:00,226.4,228.19,225.43,227.99,1864375
2025-08-22 15:30:00+00:00,228.07,228.72,227.81,228.2,1461787
2025-08-22 16:30:00+00:00,228.195,228.44,226.93,227.2,750231
2025-08-22 17:30:00+00:00,227.2,229.09,227.08,228.46,1379504
2025-08-22 18:30:00+00:00,228.43,228.56,227.78,227.86,827814
2025-08-22 19:30:00+00:00,227.85,228.51,227.785,227.95,671719
2025-08-22 20:30:00+00:00,227.96,228.33,227.44,227.7,5794608
